CustomerID,Cluster
C0001,4
C0002,2
C0003,4
C0004,0
C0005,1
C0006,4
C0007,1
C0008,5
C0009,3
C0010,3
C0011,4
C0012,0
C0013,0
C0014,7
C0015,5
C0016,5
C0017,3
C0018,5
C0019,3
C0020,1
C0021,2
C0022,2
C0023,3
C0024,5
C0025,4
C0026,5
C0027,2
C0028,2
C0029,5
C0030,5
C0031,4
C0032,4
C0033,6
C0034,5
C0035,5
C0036,5
C0037,3
C0038,5
C0039,4
C0040,2
C0041,0
C0042,5
C0043,1
C0044,3
C0045,2
C0046,5
C0047,5
C0048,4
C0049,5
C0050,5
C0051,3
C0052,4
C0053,3
C0054,2
C0055,5
C0056,2
C0057,3
C0058,6
C0059,0
C0060,7
C0061,3
C0062,3
C0063,3
C0064,3
C0065,0
C0066,3
C0067,5
C0068,0
C0069,3
C0070,3
C0071,4
C0072,5
C0073,7
C0074,3
C0075,0
C0076,4
C0077,4
C0078,1
C0079,5
C0080,7
C0081,3
C0082,0
C0083,4
C0084,2
C0085,4
C0086,3
C0087,0
C0088,1
C0089,3
C0090,2
C0091,4
C0092,2
C0093,2
C0094,5
C0095,4
C0096,0
C0097,7
C0098,5
C0099,0
C0100,3
C0101,2
C0102,0
C0103,3
C0104,0
C0105,3
C0106,2
C0107,4
C0108,4
C0109,0
C0110,7
C0111,3
C0112,1
C0113,0
C0114,3
C0115,1
C0116,5
C0117,5
C0118,4
C0119,3
C0120,1
C0121,3
C0122,5
C0123,7
C0124,3
C0125,5
C0126,4
C0127,3
C0128,7
C0129,4
C0130,1
C0131,5
C0132,3
C0133,4
C0134,2
C0135,3
C0136,2
C0137,4
C0138,2
C0139,5
C0140,1
C0141,0
C0142,2
C0143,2
C0144,7
C0145,2
C0146,1
C0147,4
C0148,0
C0149,3
C0150,6
C0151,7
C0152,4
C0153,4
C0154,5
C0155,0
C0156,0
C0157,5
C0158,4
C0159,2
C0160,5
C0161,2
C0162,2
C0163,0
C0164,3
C0165,0
C0166,3
C0167,3
C0168,4
C0169,0
C0170,3
C0171,4
C0172,3
C0173,2
C0174,4
C0175,2
C0176,5
C0177,1
C0178,2
C0179,3
C0181,4
C0182,3
C0183,5
C0184,4
C0185,5
C0186,1
C0187,4
C0188,0
C0189,5
C0190,4
C0191,4
C0192,4
C0193,1
C0194,5
C0195,4
C0196,3
C0197,3
C0198,6
C0199,3
C0200,2
